ID,Year_Birth,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer
1826,1970,Divorced,"$84,835.00 ",0,0,6/16/2014
1,1961,Single,"$57,091.00 ",0,0,6/15/2014
10476,1958,Married,"$67,267.00 ",0,1,5/13/2014
1386,1967,Together,"$32,474.00 ",1,1,5/11/2014
5371,1989,Single,"$21,474.00 ",1,0,4/8/2014
7348,1958,Single,"$71,691.00 ",0,0,3/17/2014
4073,1954,Married,"$63,564.00 ",0,0,1/29/2014
1991,1967,Together,"$44,931.00 ",0,1,1/18/2014
4047,1954,Married,"$65,324.00 ",0,1,1/11/2014
9477,1954,Married,"$65,324.00 ",0,1,1/11/2014
2079,1947,Married,"$81,044.00 ",0,0,12/27/2013
5642,1979,Together,"$62,499.00 ",1,0,12/9/2013
10530,1959,Widow,"$67,786.00 ",0,0,12/7/2013
2964,1981,Married,"$26,872.00 ",0,0,10/16/2013
10311,1969,Married,"$4,428.00 ",0,1,10/5/2013
837,1977,Married,"$54,809.00 ",1,1,9/11/2013
10521,1977,Married,"$54,809.00 ",1,1,9/11/2013
10175,1958,Divorced,"$32,173.00 ",0,1,8/1/2013
1473,1960,Single,"$47,823.00 ",0,1,7/23/2013
2795,1958,Single,"$30,523.00 ",2,1,7/1/2013
2285,1954,Together,"$36,634.00 ",0,1,5/28/2013
115,1966,Single,"$43,456.00 ",0,1,3/26/2013
10470,1979,Married,"$40,662.00 ",1,0,3/15/2013
4065,1976,Married,"$49,544.00 ",1,0,2/12/2013
10968,1969,Single,"$57,731.00 ",0,1,11/23/2012
5985,1965,Single,"$33,168.00 ",0,1,10/13/2012
5430,1956,Together,"$54,450.00 ",1,1,9/14/2012
8432,1956,Together,"$54,450.00 ",1,1,9/14/2012
453,1956,Widow,"$35,340.00 ",1,1,6/29/2014
9687,1975,Single,"$73,170.00 ",0,0,5/31/2014
8890,1971,Divorced,"$65,808.00 ",1,1,5/30/2014
9264,1986,Married,"$79,529.00 ",0,0,4/27/2014
5824,1972,Together,"$34,578.00 ",2,1,4/11/2014
5794,1974,Married,"$46,374.00 ",0,1,3/17/2014
3068,1990,Married,"$18,351.00 ",0,0,10/29/2013
7962,1987,Single,"$95,169.00 ",0,0,10/9/2013
2681,1984,Married,"$65,370.00 ",0,0,8/1/2013
10141,1960,Divorced,"$39,228.00 ",0,0,5/10/2013
3725,1961,Single,"$84,865.00 ",0,0,5/9/2013
3767,1968,Married,"$61,314.00 ",0,1,4/25/2013
5585,1972,Single,"$21,359.00 ",1,0,4/20/2013
7030,1955,Married,"$66,465.00 ",0,1,3/30/2013
1524,1983,Single,"$81,698.00 ",0,0,3/1/2013
3657,1986,Single,"$39,146.00 ",1,0,2/14/2013
5740,1970,Divorced,"$25,959.00 ",1,1,2/14/2013
9595,1961,Together,"$64,260.00 ",0,0,1/11/2013
3158,1973,Married,"$32,300.00 ",1,0,1/3/2013
5114,1965,Married,"$74,806.00 ",0,1,12/19/2012
340,1970,Divorced,"$72,967.00 ",0,1,12/15/2012
8805,1960,Single,"$48,904.00 ",0,1,12/2/2012
1241,1984,Married,"$14,796.00 ",1,0,9/17/2012
1402,1954,Married,"$66,991.00 ",0,0,9/11/2012
7264,1978,Single,"$52,195.00 ",2,1,5/12/2014
1619,1956,Married,"$90,369.00 ",0,0,4/28/2014
6398,1974,Married,"$18,393.00 ",1,0,3/29/2014
1857,1952,Single,"$47,139.00 ",1,1,3/6/2014
4877,1973,Married,"$38,576.00 ",0,1,3/4/2014
3066,1975,Together,"$61,905.00 ",0,1,2/4/2014
10286,1962,Married,"$83,715.00 ",0,0,2/3/2014
1992,1964,Married,"$60,597.00 ",0,1,1/1/2014
4246,1982,Single,"$6,560.00 ",0,0,12/12/2013
10623,1961,Together,"$48,330.00 ",0,1,11/15/2013
4867,1968,Single,"$38,236.00 ",1,1,9/20/2013
3112,1977,Married,"$22,701.00 ",1,0,9/5/2013
4865,1974,Divorced,"$53,367.00 ",1,1,8/31/2013
6287,1986,Together,"$34,728.00 ",1,0,7/30/2013
4405,1956,Married,"$63,915.00 ",0,2,7/30/2013
5332,1960,Married,"$82,504.00 ",0,0,7/27/2013
1519,1972,Single,"$38,578.00 ",1,1,6/22/2013
9080,1972,Single,"$38,578.00 ",1,1,6/22/2013
1772,1975,Married,"$79,174.00 ",0,0,1/11/2013
5341,1962,Divorced,"$81,975.00 ",0,1,1/5/2013
5510,1977,Married,"$43,263.00 ",0,1,11/21/2012
3887,1970,Single,"$27,242.00 ",1,0,11/11/2012
7022,1971,Married,"$76,445.00 ",1,0,9/28/2012
9999,1965,Together,"$75,276.00 ",0,0,9/27/2012
