ID,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1826,1,4,4,6,1
1,1,7,3,7,5
10476,1,3,2,5,2
1386,1,1,0,2,7
5371,2,3,1,2,7
7348,1,4,7,5,2
4073,1,10,10,7,6
1991,1,2,1,3,5
4047,3,6,2,9,4
9477,3,6,2,9,4
2079,1,5,6,10,1
5642,2,3,1,6,4
10530,1,3,6,6,1
2964,1,1,1,2,6
10311,0,25,0,0,1
837,4,2,1,5,4
10521,4,2,1,5,4
10175,1,1,0,3,4
1473,2,2,0,3,8
2795,1,1,0,2,7
2285,3,5,2,5,7
115,3,5,1,8,5
10470,2,2,1,3,4
4065,2,5,1,8,7
10968,4,8,8,6,6
5985,3,2,1,4,7
5430,12,9,2,8,8
8432,12,9,2,8,8
453,2,2,0,3,5
9687,1,5,4,6,2
8890,3,5,1,5,6
9264,1,4,8,9,2
5824,1,1,0,2,6
5794,3,7,1,7,8
3068,1,2,0,3,7
7962,1,4,3,4,1
2681,1,2,3,13,1
10141,1,0,0,3,4
3725,1,2,4,9,4
3767,2,5,5,12,3
5585,2,2,0,3,8
7030,3,11,9,12,6
1524,1,8,2,5,5
3657,3,4,0,4,8
5740,2,1,2,2,6
9595,1,4,5,4,3
3158,1,1,0,3,8
5114,2,5,4,5,4
340,2,7,2,8,5
8805,4,7,2,4,8
1241,2,1,0,3,9
1402,3,4,8,6,3
7264,1,1,0,2,8
1619,1,4,6,6,1
6398,2,3,0,3,8
1857,2,2,1,2,7
4877,1,1,0,3,7
3066,2,4,2,4,5
10286,1,2,8,13,0
1992,4,2,2,8,7
4246,0,1,0,1,17
10623,1,1,0,3,5
4867,4,3,0,4,7
3112,1,1,0,3,5
4865,7,5,1,8,7
6287,1,1,1,2,6
4405,2,6,3,12,5
5332,1,3,6,7,1
1519,3,3,0,3,8
9080,3,3,0,3,8
1772,1,5,6,7,2
5341,1,6,3,4,7
5510,3,5,2,6,5
3887,2,2,0,3,9
7022,1,2,5,13,6
9999,1,9,4,9,5
10352,3,3,1,2,9
7919,1,10,4,8,8
4114,1,6,9,13,3
7990,1,0,0,3,6
9888,1,4,4,7,2
4399,1,4,4,7,2
4452,4,6,1,6,7
4785,2,6,3,11,3
8461,1,1,0,2,7
3878,1,1,0,3,7
9612,1,1,0,3,7
4098,3,2,0,4,6
158,1,8,3,5,4
3896,1,1,0,3,7
9970,1,1,1,6,2
4002,1,7,7,12,3
10914,2,1,0,3,4
7279,1,4,6,4,2
10582,2,5,2,12,2
4470,1,2,1,4,4
6183,1,2,1,4,4
6379,3,2,2,2,7
8601,2,8,6,5,4
4827,5,4,2,9,4
6715,6,6,2,11,6
10676,2,3,8,7,2
1041,5,7,1,6,8
492,5,7,1,6,8
11133,5,7,1,6,8
4491,11,3,4,10,8
873,11,3,4,10,8
1631,4,8,4,7,6
8278,1,8,2,5,5
6815,0,7,6,8,2
254,3,7,1,7,7
1349,1,3,1,3,6
2534,2,4,1,3,7
2130,1,3,1,3,6
2296,1,1,0,2,6
3799,3,7,2,11,5
11084,2,3,5,7,7
5172,2,3,5,7,7
9504,1,3,8,13,1
850,2,6,5,9,3
4477,1,5,2,10,4
1945,3,7,4,7,4
7685,1,2,0,4,5
6310,1,2,0,4,5
10832,1,6,1,6,6
3025,3,6,1,5,7
2404,4,5,1,4,7
8581,9,10,2,8,8
8755,1,3,5,9,7
10177,3,5,4,8,2
2429,3,5,4,8,2
8920,3,11,2,12,7
8430,1,0,0,3,5
8619,1,0,0,3,5
8996,12,7,2,8,9
7233,2,5,3,6,4
6678,2,3,0,4,7
830,1,4,6,4,3
6365,1,2,0,3,6
6770,2,2,1,2,6
2261,1,1,0,2,7
1031,1,6,9,10,2
10089,1,6,9,13,2
9256,4,8,3,12,6
10641,4,2,1,3,6
624,1,0,1,2,6
4211,2,2,0,3,7
1407,2,2,0,3,7
10356,1,1,0,3,7
9323,4,10,5,7,8
1146,4,10,5,7,8
6343,1,6,9,7,2
8545,1,2,4,10,1
8275,1,1,0,2,7
10673,1,6,9,5,3
8799,3,3,1,4,7
67,3,2,0,4,7
9923,3,2,0,4,7
2814,1,1,0,3,7
2711,1,1,0,3,7
4320,1,6,4,12,3
10451,1,0,0,3,6
4198,1,0,0,3,6
10814,1,6,5,13,4
944,1,4,2,7,4
8151,1,4,1,3,8
6184,1,3,3,8,1
3498,4,7,5,9,6
2870,5,6,3,6,6
7342,3,6,6,12,5
1911,1,11,5,12,6
10862,5,1,2,9,2
2546,1,1,0,4,3
3005,1,4,10,8,1
8318,0,5,6,8,1
2930,2,2,6,10,5
8216,6,4,4,3,5
1212,3,8,8,6,6
2541,2,2,0,3,8
10659,4,3,2,2,7
10905,5,4,1,6,8
8910,5,4,1,6,8
7349,4,3,1,3,8
7872,1,6,10,6,5
4290,1,1,0,2,7
7408,2,5,1,4,7
9986,3,4,1,2,7
8235,2,6,5,10,3
10949,1,5,5,8,3
7284,1,1,0,2,8
9529,1,3,9,9,2
9930,1,6,8,13,2
10270,2,3,0,3,7
760,2,8,4,9,6
5519,1,6,9,4,5
232,1,4,2,10,3
3009,1,5,3,6,6
6518,1,7,3,8,5
10669,2,3,2,10,3
5682,4,6,9,11,5
1570,2,7,7,10,4
1497,2,6,3,5,5
9723,4,7,4,13,5
7261,5,5,2,5,8
2452,5,5,2,5,8
5621,5,6,1,5,9
10995,3,3,0,4,8
7373,6,4,1,6,6
5331,1,3,6,7,2
263,1,3,1,3,8
4619,0,27,0,0,1
940,2,3,2,7,3
10084,2,2,1,2,7
6019,1,1,2,2,6
1463,1,1,0,2,7
6424,1,1,0,3,4
8233,4,7,3,7,5
1515,1,1,0,3,3
10855,2,4,1,8,5
10909,0,5,10,5,1
3376,1,3,1,6,4
10232,3,3,2,7,3
5547,1,7,6,6,3
8362,1,7,6,6,3
3524,2,5,1,2,9
10095,1,5,4,10,2
8897,8,7,3,7,8
466,1,4,3,13,2
11025,4,3,1,3,8
2387,6,5,2,4,8
1618,2,10,1,8,8
25,2,6,6,7,4
3277,2,7,1,5,8
8566,1,1,0,2,7
2634,3,2,1,3,6
8036,4,2,1,4,4
8159,3,4,1,3,7
7628,2,2,0,4,5
9597,1,7,2,9,4
1384,2,2,1,2,8
10150,0,7,4,7,2
3885,1,1,1,2,8
11003,2,2,0,3,7
8026,5,5,4,5,5
577,2,1,0,3,7
8702,2,1,0,3,7
5429,1,4,1,4,6
977,6,5,1,8,6
2793,3,7,3,13,5
1071,3,7,3,13,5
5074,1,1,0,3,7
2632,7,5,4,4,6
6404,5,4,1,6,5
10240,1,10,4,6,4
2521,1,1,1,2,7
4301,1,1,1,2,7
7381,1,11,4,6,4
2407,1,6,6,7,4
9064,1,6,6,7,4
5067,1,2,7,11,5
10281,2,5,5,7,4
11191,1,2,1,4,6
1994,1,1,0,2,7
2552,9,6,3,6,7
6720,3,7,3,4,7
4557,2,2,2,2,6
1183,1,1,0,2,6
4186,3,2,1,3,5
1419,3,2,1,3,5
967,10,5,2,9,7
1048,2,3,1,4,7
9262,1,1,0,3,7
3427,6,11,2,7,8
5892,7,3,2,5,7
8911,3,5,4,9,4
6606,2,5,2,10,8
2677,5,3,1,6,4
252,1,6,2,8,6
9860,3,4,1,4,7
1388,2,2,1,3,6
979,2,2,1,3,6
7494,4,6,1,4,8
10490,2,6,2,4,7
3403,2,2,5,12,6
2715,4,3,2,2,9
4828,1,5,10,5,1
92,4,3,0,4,6
3312,4,3,0,4,6
11176,2,5,4,7,3
1446,1,6,9,12,1
9699,3,6,2,12,5
9790,1,11,3,4,4
2324,2,7,11,11,4
5080,1,6,6,4,2
4992,3,3,1,2,7
7849,1,2,9,13,1
4808,1,1,0,2,7
10401,1,0,0,3,3
7793,3,10,4,7,6
9303,0,1,0,0,13
6853,1,3,6,11,1
7366,1,3,6,11,1
9780,2,8,3,13,4
7573,1,2,1,2,7
1379,1,4,2,4,4
8923,1,6,7,7,3
3547,2,2,0,3,6
8707,1,5,6,4,3
1891,1,4,6,5,2
6271,1,2,0,3,5
9635,1,3,1,3,6
9727,1,2,0,4,6
6205,3,2,1,3,5
10681,5,6,3,12,4
5156,5,6,3,12,4
3050,6,3,1,6,4
8164,1,5,6,7,2
5626,1,4,2,9,4
7600,2,1,0,3,7
6406,1,6,4,10,3
7002,1,3,2,8,3
8234,1,1,0,2,8
6116,1,1,1,3,3
291,1,3,3,6,1
8779,4,4,1,3,9
4931,0,0,28,0,1
1650,1,5,9,12,3
9701,3,4,2,3,7
6431,2,2,0,3,7
10789,2,2,0,3,7
5302,1,4,6,5,2
4459,1,1,0,3,8
10642,1,1,0,3,8
