ID,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
1826,189,104,379,111,189,218
1,464,5,64,7,0,37
10476,134,11,59,15,2,30
1386,10,0,1,0,0,0
5371,6,16,24,11,0,34
7348,336,130,411,240,32,43
4073,769,80,252,15,34,65
1991,78,0,11,0,0,7
4047,384,0,102,21,32,5
9477,384,0,102,21,32,5
2079,450,26,535,73,98,26
5642,140,4,61,0,13,4
10530,431,82,441,80,20,102
2964,3,10,8,3,16,32
10311,16,4,12,2,4,321
837,63,6,57,13,13,22
10521,63,6,57,13,13,22
10175,18,0,2,0,0,2
1473,53,1,5,2,1,10
2795,5,0,3,0,0,5
2285,213,9,76,4,3,30
115,275,11,68,25,7,7
10470,40,2,23,0,4,23
4065,308,0,73,0,0,23
10968,266,21,300,65,8,44
5985,80,1,37,0,1,3
5430,454,0,171,8,19,32
8432,454,0,171,8,19,32
453,27,0,12,0,1,5
9687,184,174,256,50,30,32
8890,155,7,80,13,7,10
9264,423,42,706,73,197,197
5824,7,0,1,0,0,0
5794,408,0,21,0,0,17
3068,1,12,9,0,14,7
7962,1285,21,449,106,20,20
2681,71,22,112,138,89,29
10141,7,1,6,0,3,3
3725,1248,16,349,43,16,16
3767,378,0,189,97,172,172
5585,12,2,17,6,1,10
7030,1200,0,204,38,29,14
1524,709,45,115,30,160,45
3657,94,1,33,13,12,12
5740,4,2,12,7,5,26
9595,539,169,816,20,0,30
3158,13,3,6,6,5,6
5114,670,9,249,0,28,9
340,158,35,179,0,0,125
8805,283,10,38,0,13,27
1241,13,3,8,7,4,16
1402,496,36,460,189,60,12
7264,12,0,4,0,0,1
1619,292,51,981,224,23,17
6398,7,10,13,16,0,4
1857,46,0,12,0,2,23
4877,34,0,7,0,0,0
3066,167,0,43,6,2,13
10286,318,8,407,150,35,8
1992,522,0,257,32,16,66
4246,67,11,26,4,3,262
10623,28,0,4,0,0,0
4867,58,0,18,2,0,10
3112,2,4,9,0,4,5
4865,229,7,140,10,3,11
6287,14,0,16,0,0,6
4405,622,7,115,30,0,15
5332,362,50,431,134,35,54
1519,38,4,22,3,3,3
9080,38,4,22,3,3,3
1772,1074,37,518,193,92,129
5341,983,76,184,180,138,27
5510,262,6,61,0,10,102
3887,3,17,26,20,1,39
7022,739,107,309,140,80,35
9999,610,105,125,137,42,21
10352,50,4,28,6,3,26
7919,1285,105,653,28,21,0
4114,650,37,780,27,167,32
7990,9,1,2,3,2,0
9888,458,81,356,106,50,40
4399,458,81,356,106,50,40
4452,292,6,37,0,3,34
4785,520,7,154,19,0,14
8461,14,0,1,0,0,1
3878,3,4,7,15,8,11
9612,1,8,6,4,8,16
4098,20,3,16,0,4,1
158,345,53,528,98,75,97
3896,22,1,11,0,1,2
9970,42,11,57,10,28,14
4002,463,96,333,168,53,10
10914,4,1,7,2,1,2
7279,260,86,559,63,9,67
10582,180,32,348,76,32,90
4470,62,1,44,6,5,22
6183,62,1,44,6,5,22
6379,67,1,20,0,2,31
8601,421,76,536,82,178,102
4827,154,22,202,39,30,8
6715,502,19,132,0,6,26
10676,145,193,459,205,26,145
1041,322,3,50,4,3,42
492,322,3,50,4,3,42
11133,322,3,50,4,3,42
4491,1099,0,45,0,0,34
873,1099,0,45,0,0,34
1631,890,63,292,0,25,12
8278,863,83,547,86,99,33
6815,448,21,125,52,101,62
254,399,4,30,6,4,30
1349,85,7,24,2,3,27
2534,97,1,41,6,2,41
2130,35,3,67,10,8,24
2296,3,2,11,2,2,10
3799,315,35,322,46,7,143
11084,738,0,232,13,20,50
5172,738,0,232,13,20,50
9504,179,28,520,111,123,47
850,381,28,215,84,28,21
4477,247,49,159,7,82,109
1945,711,36,217,172,96,168
7685,30,8,12,8,8,12
6310,30,8,12,8,8,12
10832,288,10,30,4,10,125
3025,212,6,69,4,12,3
2404,173,4,30,3,6,41
8581,604,0,100,19,0,28
8755,482,34,471,119,68,22
10177,531,69,300,150,138,150
2429,531,69,300,150,138,150
8920,448,40,469,80,0,91
8430,9,0,6,3,1,3
8619,9,0,6,3,1,3
8996,230,42,192,49,37,53
7233,496,32,849,229,48,128
6678,33,4,24,4,2,5
830,784,48,560,42,176,48
6365,10,12,12,25,1,20
6770,5,13,14,0,5,31
2261,4,1,5,2,0,4
1031,600,20,350,29,30,33
10089,168,148,444,32,172,148
9256,493,26,206,116,80,80
10641,6,5,4,13,4,25
624,6,4,1,7,2,15
4211,4,12,5,3,16,17
1407,4,12,5,3,16,17
10356,29,0,2,0,0,1
9323,520,8,223,32,49,42
1146,520,8,223,32,49,42
6343,835,73,380,114,73,43
8545,1296,17,311,45,69,51
8275,16,0,3,0,0,1
10673,760,80,466,17,13,80
8799,70,6,69,2,3,3
67,68,0,16,0,0,8
9923,68,0,16,0,0,8
2814,9,1,5,4,5,7
2711,9,1,5,4,5,7
4320,325,83,300,86,58,91
10451,9,1,3,0,4,8
4198,9,1,3,0,4,8
10814,303,23,751,82,26,191
944,121,103,69,8,44,48
8151,16,36,21,20,62,108
6184,561,64,785,84,128,48
3498,462,61,184,10,53,107
2870,376,0,38,11,8,69
7342,341,142,113,259,151,66
1911,595,97,291,127,133,121
10862,179,8,83,19,11,26
2546,23,4,5,10,5,23
3005,530,117,678,134,44,147
8318,594,134,786,33,134,57
2930,852,60,207,78,36,48
8216,158,0,76,13,7,71
1212,384,25,292,130,41,64
2541,14,7,11,11,0,5
10659,2,8,11,3,8,21
10905,194,2,56,0,0,0
8910,194,2,56,0,0,0
7349,6,17,16,6,16,42
7872,179,21,273,0,21,63
4290,1,3,8,2,5,5
7408,216,2,6,0,0,9
9986,16,0,23,3,2,10
8235,428,30,214,80,30,61
10949,1092,37,592,145,37,55
7284,10,0,7,2,0,1
9529,559,153,503,218,13,181
9930,606,148,228,15,148,22
10270,11,5,22,12,5,11
760,588,7,76,110,15,15
5519,316,58,161,76,51,135
232,279,83,88,32,14,34
3009,1462,16,128,0,0,160
6518,546,0,48,0,6,6
10669,277,21,64,62,21,25
5682,948,10,86,13,21,21
1570,664,9,240,50,19,57
1497,268,11,88,15,3,22
9723,530,142,217,62,9,56
7261,199,33,60,8,3,15
2452,199,33,60,8,3,15
5621,73,57,100,71,15,0
10995,16,5,30,8,7,26
7373,96,12,96,33,22,43
5331,587,51,898,247,0,86
263,56,19,29,2,14,25
4619,6,2,3,1,262,3
940,158,11,99,15,11,17
10084,3,2,8,20,0,17
6019,45,3,9,4,4,7
1463,8,2,5,3,0,3
6424,12,6,2,11,2,16
8233,508,5,21,7,5,10
1515,11,2,7,4,2,2
10855,234,14,77,19,10,42
10909,992,24,694,51,19,119
3376,125,6,73,8,4,19
10232,174,18,81,28,6,24
5547,1478,19,403,0,19,0
8362,1478,19,403,0,19,0
3524,80,1,60,4,6,16
10095,1001,12,240,16,12,12
8897,392,5,91,28,26,112
466,388,14,218,91,14,21
11025,65,0,46,4,3,20
2387,177,2,71,3,2,20
1618,577,0,64,0,0,51
25,460,35,422,33,12,153
3277,219,3,100,26,0,17
8566,5,0,3,0,0,1
2634,5,7,31,15,4,7
8036,31,1,13,7,2,9
8159,117,0,22,13,0,30
7628,30,5,24,6,3,8
9597,236,106,189,23,41,130
1384,6,4,14,8,8,22
10150,464,28,873,29,18,37
3885,16,2,18,3,0,24
11003,2,5,7,0,18,18
8026,120,58,73,65,89,58
577,9,1,7,0,3,2
8702,9,1,7,0,3,2
5429,145,1,33,2,1,1
977,200,19,111,50,15,19
2793,532,88,168,69,44,133
1071,532,88,168,69,44,133
5074,30,0,10,2,0,5
2632,297,0,38,13,0,152
6404,151,7,89,0,7,28
10240,997,26,269,34,13,42
2521,23,1,13,2,2,18
4301,23,1,13,2,2,18
7381,797,153,293,72,97,30
2407,823,25,459,124,29,95
9064,823,25,459,124,29,95
5067,966,26,282,52,26,26
